record_id,original_title,original_pmid,original_status,search_pmids_found,best_match_pmid,best_match_title,title_match_score,lookup_outcome,new_abstract_found
DUP_00035,A PET/CT and fMRI randomized controlled study to identify brain network associated with acupuncture effects in reducing depression,,no_pmid,,,,0.0,no_results,False
DUP_00079,Activation of different cerebral functional regions following acupuncture at bot H Taixi and taichong acupoints and taixi acupoint alone: An fMRI study,,no_pmid,,,,0.0,no_results,False
DUP_00109,Acupuncture as a treatment to improve cognitive function after brain injury: A case study,,no_pmid,23210471,23210471,Acupuncture helps regain postoperative consciousness in patients with traumatic brain injury: a case study.,0.462,no_good_match,False
DUP_00147,Acupuncture for Functional Dyspepsia: a Functional Magnetic Resonance Imaging (fMRI) Study,,no_pmid,35585920; 28338267,35585920,Neural Responses of Acupuncture for Treating Functional Dyspepsia: An fMRI Study.,0.6,possible_match_needs_verification,False
DUP_00419,Blood oxygenation level dependent-functional magnetic resonance imaging (BOLD-fMRI) combined with diffusion-tensor imaging (DTI): A comparison of patients with hemiplegia after stroke treated with acupuncture and normal subjects,,no_pmid,,,,0.0,no_results,False
DUP_01305,MRI-based Neuroimaging Predictors of Clinical Improvements Following Occupational Therapy (OT) or OT Puls Acupuncture and Massage Methods in Children With Cerebral Palsy,,no_pmid,,,,0.0,no_results,False
DUP_01438,Optimization of Brain-based Mechanisms Supporting Psychosocial Aspects of Acupuncture Therapy - a Hyperscanning fMRI Study,,no_pmid,,,,0.0,no_results,False
DUP_01871,"The Study of Brain Functional Network Modulatory Mechanism of Alzheimer's Disease Using Acupuncture at the ""Four-gate"" Acupoints",,no_pmid,,,,0.0,no_results,False
DUP_01931,Understanding the Cognitive Benefits of Acupuncture for Stroke Recovery Through fMRI,,no_pmid,,,,0.0,no_results,False
DUP_00050,A resting-state functional magnetic resonance imaging study on the efficacy of brain function rehabilitation in post-stroke hemiplegia using scalp acupuncture,,no_pmid,,,,0.0,no_results,False
DUP_00080,Activation of different cerebral functional regions following acupuncture at bot h taixiand taichong acupoints and taixiacupoint alone: An fMRI study,,no_pmid,,,,0.0,no_results,False
DUP_00121,Acupuncture Baihui activated the functional brain areas of major depressive disorder patients with regional homogeneity,,no_pmid,,,,0.0,no_results,False
DUP_00512,Cerebral Response of Healthy Subjects to a Somatosensory Stimulation With XNKQ Acupuncture Compared to Control Interventions Measured With EEG and fMRI,,no_pmid,,,,0.0,no_results,False
DUP_00724,Ear acupuncture and fMRI: A pilot study for assessing the speci-city of auricular points,,no_pmid,,,,0.0,no_results,False
DUP_00318,An fMRI Study prior and post acupuncture treatment during the first 24 hours of smoking cessation,,no_pmid,,,,0.0,no_results,False
DUP_00517,Cerebrum fMRI study on the acupucture of Five Shu Points of gall bladder meridian of Foot-Shaoyang,,no_pmid,,,,0.0,no_results,False
DUP_01374,Neuroimaging Approaches to Deconstructing Acupuncture for Chronic Pain,,no_pmid,,,,0.0,no_results,False
DUP_01622,Roundtable: Psychological and neurological effects of acupuncture: Brain effects of acupuncture studied through the functional magnetic resonance imaging technique,,no_pmid,,,,0.0,no_results,False
DUP_00284,Altered brain response to acupuncture after a course of acupuncture therapy for CTS is associated with analgesia,,no_pmid,,,,0.0,no_results,False
DUP_00515,Cerebral responses to puncturing at ST36 after acupuncture treatment in patients with functional dyspepsia,,no_pmid,,,,0.0,no_results,False
DUP_01041,Functional brain connectivity predicts acupuncture analgesic effect in carpal tunnel syndrome patients,,no_pmid,,,,0.0,no_results,False
DUP_01557,Regulation of cerebral regional homogeneity exerted by puncturing hao-yang acupoints for migraine patients,,no_pmid,,,,0.0,no_results,False
DUP_01633,Scalp electroacupuncture in stroke rehabilitation research: FMRI methodological issues and solutions,,no_pmid,,,,0.0,no_results,False
DUP_01738,The brain effects of laser acupuncture in depressed individuals: An fMRI investigation,,no_pmid,20838644,20838644,The brain effects of laser acupuncture in healthy individuals: an FMRI investigation.,0.917,pmid_found_with_abstract,True
DUP_00037,A Physiological fMRI Study of Acupuncture and Perceptions of Pain in Chronic Low Back Pain Patients.,,no_pmid,,,,0.0,no_results,False
DUP_00242,Acupuncture treatment attenuates excitability of spinal motor neuron and spastic muscle overactivity in patients with persistent disturbance of consciousness following traumatic brain injury,,no_pmid,,,,0.0,no_results,False
DUP_00437,Brain circuitry subserving acupuncture relief of itch in atopic dermatitis: An fMRI study,,no_pmid,,,,0.0,no_results,False
DUP_00461,Brain Mechanisms of Acupuncture Treatment in Chronic Low Back Pain,,no_pmid,38444878; 36166279; 34079363; 32380138; 27215046,38444878,The Emotion Regulation of Acupuncture in Chronic Low Back Pain: A Clinical Neuroimaging Protocol.,0.7,pmid_found_with_abstract,True
DUP_00468,Brain Plasticity Underlying Back Pain Response to Different Acupuncture Methods,,no_pmid,,,,0.0,no_results,False
DUP_00890,Efficacy of Acupuncture and Moxibustion Treatment in Patients With Quiescent Crohn's Disease:Evaluation With Functional Magnetic Resonance Imaging(fMRI),,no_pmid,,,,0.0,no_results,False
DUP_00939,Electroacupuncture pretreatment as a novel avenue to protect brain against ischemia and reperfusion injury,,no_pmid,32508960; 22611425,22611425,Electroacupuncture Pretreatment as a Novel Avenue to Protect Brain against Ischemia and Reperfusion Injury.,1.0,pmid_found_with_abstract,True
DUP_01520,Progress on application of fMRI in studies of meridians and acupoints,,no_pmid,,,,0.0,no_results,False
DUP_00467,Brain Plasticity in Carpal Tunnel Syndrome and Its Response to Acupuncture,,no_pmid,17240066,17240066,Hypothalamus and amygdala response to acupuncture stimuli in Carpal Tunnel Syndrome.,0.727,pmid_found_with_abstract,True
DUP_00506,Cerebral fMRI in observation on the therapeutic mechanism of electro-acupuncture on Shenmen and Sanyinjiao for insomnia,,no_pmid,,,,0.0,no_results,False
DUP_01065,Functional magnetic resonance imaging studies of acupuncture mechanisms: A critique,,no_pmid,,,,0.0,no_results,False
DUP_01583,"Response to correspondence on ""functional magnetic resonance imaging activation of the brain in children: Real acupoint versus sham acupoint""",,no_pmid,,,,0.0,no_results,False
DUP_01592,Resting state-functional magnetic resonance imaging technology applied to a balancing acupuncture treatment for central mechanisms,,no_pmid,,,,0.0,no_results,False
DUP_00244,Acupuncture Treatment for Migraine: a Functional Magnetic Resonance Imaging Study,,no_pmid,,,,0.0,no_results,False
DUP_00299,An Acupuncture fMRI Study on Chronic Pain: Response Reliability and Dose Effect,,no_pmid,,,,0.0,no_results,False
DUP_00431,Brain Activity Changes Measured by EEG and fMRI on Healthy Volunteers After Complex Somatosensory Stimulation With Acupuncture Needles,,no_pmid,,,,0.0,no_results,False
DUP_01434,Observation with fMRI on central mechanisms of acupuncture at ST36 using reinforcing and reducing techniques,,no_pmid,,,,0.0,no_results,False
DUP_00040,A Pilot Study on the Effect of Electroacupuncture on Functional Brain Mapping in Patients With Irritable Bowel Syndrome,,no_pmid,,,,0.0,no_results,False
DUP_00210,Acupuncture of motor-implicated acupoints on subacute stroke patients: An fMRI evaluation study,,no_pmid,,,,0.0,no_results,False
DUP_00312,An fMRI Study of Expectancy on Acupuncture Treatment Outcomes in Knee OA,,no_pmid,,,,0.0,no_results,False
DUP_00354,Application of functional magnetic resonance imaging in research of acupuncture mechanism,,no_pmid,23620959,23620959,[Main influencing factors of functional magnetic resonance imaging for acupuncture mechanism research].,0.8,pmid_found_with_abstract,True
DUP_00950,Electroacupuncturing acupoints of patients with peripheral facial paralysis: A functional MRI study,,no_pmid,,,,0.0,no_results,False
DUP_01070,Functional MRI and acupuncture (Large intestine 4 acupoint) in patients with myofascial pain of the jaw muscles: A pilot randomized trial,,no_pmid,,,,0.0,no_results,False
DUP_01231,Magnetic resonance imaging study of twisting or untwisting Taixi acupoint (KI3) on brain function,,no_pmid,42145811; 42113278; 42007319; 41980912; 41955931,42113278,Evaluation of a multifunctional traction device for lumbar disc herniation: a prospective randomized controlled study using magnetic resonance imaging and clinical assessment.,0.357,no_good_match,False
DUP_01582,"Response to correspondence on ""effect of acupuncture on the brain in children with spastic cerebral palsy using functional neuroimaging (fMRI)""",,no_pmid,,,,0.0,no_results,False
DUP_01593,Resting-state functional MRI evaluation of after-effect of acupuncture at Zusanli point,,no_pmid,,,,0.0,no_results,False
DUP_00054,"A Spinal fMRI Study of Resting-State, Motor Task and Acupoint Stimulation",,no_pmid,,,,0.0,no_results,False
DUP_00106,Acupuncture and the CNS: What can the brain at rest suggest?,,no_pmid,,,,0.0,no_results,False
DUP_01023,fMRI Measurements on the Effect of Transcutaneous Electrical Nerve Stimulation (TENS) on Acupuncture Points Verses Spontaneous Normal Vaginal Delivery to Relief of Labor Pain,,no_pmid,,,,0.0,no_results,False
DUP_01103,Hegu acupoint of patient with peripheral facial paralysis by electroacupuncture: A functional MRI study,,no_pmid,,,,0.0,no_results,False
DUP_01306,"MRI cerebral function imaging following acupuncture at Hegu, Zusanli, Neiguan and Sanyinjiao points",,no_pmid,,,,0.0,no_results,False
